Sample,Time_s,Value
474,47.300000000000004,0.000278918
475,47.400000000000006,0.000272781
476,47.5,0.000293877
477,47.6,0.00021189
478,47.7,0.000133792
479,47.800000000000004,0.000289642
480,47.900000000000006,0.00020176
481,48.0,0.00024861
482,48.1,0.000262493
483,48.2,0.000135678
484,48.300000000000004,0.000583829
485,48.400000000000006,0.000255364
486,48.5,0.000195151
487,48.6,0.000199147
488,48.7,0.000566755
489,48.800000000000004,0.000195506
490,48.900000000000006,0.000251763
491,49.0,0.000179819
492,49.1,0.000346044
493,49.2,0.000301404
494,49.300000000000004,0.000208339
495,49.400000000000006,0.000385299
496,49.5,0.000459881
497,49.6,0.000468215
498,49.7,0.000566951
499,49.800000000000004,0.000379916
500,49.900000000000006,0.000407106
501,50.0,0.000258775
502,50.1,0.000253458
503,50.2,0.000200967
504,50.300000000000004,0.000115721
505,50.400000000000006,0.000200793
506,50.5,0.000619598
507,50.6,0.000193102
508,50.7,0.000379189
509,50.800000000000004,0.000321574
510,50.900000000000006,0.000393845
511,51.0,0.00031938
512,51.1,0.0003332
513,51.2,0.000120149
514,51.300000000000004,0.000567846
515,51.400000000000006,0.000189011
516,51.5,0.000200923
517,51.6,0.000239404
518,51.7,0.000199089
519,51.800000000000004,0.000374512
520,51.900000000000006,0.000358229
521,52.0,0.000258168
522,52.1,0.000454698
523,52.2,0.000193584
524,52.300000000000004,0.000193715
525,52.400000000000006,0.000442712
526,52.5,0.00033511
527,52.6,0.000151354
528,52.7,0.000465484
529,52.800000000000004,0.000112753
530,52.900000000000006,0.000235417
531,53.0,0.000127148
532,53.1,0.000215528
533,53.2,0.000408717
534,53.300000000000004,0.000270391
535,53.400000000000006,0.000280545
536,53.5,0.00052759
537,53.6,0.000307255
538,53.7,0.000259242
539,53.800000000000004,0.000192298
540,53.900000000000006,0.000224655
541,54.0,0.000466105
542,54.1,0.000130017
543,54.2,0.000249256
544,54.300000000000004,0.000194849
545,54.400000000000006,7.83246e-05
546,54.5,0.000286295
547,54.6,0.000209925
548,54.7,0.000235714
549,54.800000000000004,0.000453035
550,54.900000000000006,0.00048421
551,55.0,0.000135961
552,55.1,0.000186251
553,55.2,0.000397699
554,55.300000000000004,0.000336039
555,55.400000000000006,0.000408943
556,55.5,0.000310621
557,55.6,0.000353353
558,55.7,0.000308291
559,55.800000000000004,0.000245653
560,55.900000000000006,0.000263577
561,56.0,0.000159475
562,56.1,0.000218662
563,56.2,0.000509181
564,56.300000000000004,0.000178099
565,56.400000000000006,0.000199231
566,56.5,0.00037918
567,56.6,0.000124016
568,56.7,0.000262231
569,56.800000000000004,0.000414789
570,56.900000000000006,0.000200024
571,57.0,0.000524359
572,57.1,0.000291375
573,57.2,0.000255413
574,57.300000000000004,0.000324408
575,57.400000000000006,0.000187368
576,57.5,0.000297036
577,57.6,0.000200967
578,57.7,0.000253074
579,57.800000000000004,0.000182253
580,57.900000000000006,0.000638261
581,58.0,0.000627572
582,58.1,0.000304922
583,58.2,0.00026582
584,58.300000000000004,0.000474557
585,58.400000000000006,0.000290506
586,58.5,0.000261089
587,58.6,0.00018058
588,58.7,0.000558768
589,58.800000000000004,0.000228517
590,58.900000000000006,0.000251747
591,59.0,0.000133192
592,59.1,0.000371874
593,59.2,0.00039049
594,59.300000000000004,0.00014215
595,59.400000000000006,0.000336116
596,59.5,0.000315851
597,59.6,0.000175927
598,59.7,0.000152831
599,59.800000000000004,0.000285976
600,59.900000000000006,0.000142897
601,60.0,0.000636121
602,60.1,0.000245152
603,60.2,0.00016525
604,60.300000000000004,0.000445685
605,60.400000000000006,0.000371983
606,60.5,0.00040422
607,60.6,0.000283175
608,60.7,0.000127946
609,60.800000000000004,0.000598848
610,60.900000000000006,0.000104097
611,61.0,0.000241928
612,61.1,0.000607711
613,61.2,0.000417157
614,61.300000000000004,9.96962e-05
615,61.400000000000006,0.000175829
616,61.5,0.000379649
617,61.6,0.000308863
618,61.7,0.000535281
619,61.800000000000004,0.000122632
620,61.900000000000006,0.000164727
621,62.0,0.000404681
622,62.1,0.00055623
623,62.2,0.000303235
624,62.300000000000004,0.000305143
625,62.400000000000006,0.000306326
626,62.5,0.000592569
627,62.6,0.000244092
628,62.7,0.000314758
629,62.800000000000004,0.000341657
630,62.900000000000006,0.000603757
631,63.0,0.0002967
632,63.1,0.000403024
633,63.2,0.00052997
634,63.300000000000004,0.000427382
635,63.400000000000006,0.000172842
636,63.5,0.000519589
637,63.6,0.000314946
638,63.7,0.00031267
639,63.800000000000004,0.00027081
640,63.900000000000006,0.000611823
641,64.0,0.000260871
642,64.10000000000001,0.000317036
643,64.2,0.000429309
644,64.3,0.000398538
645,64.4,0.000365767
646,64.5,0.00012887
647,64.60000000000001,0.000460358
648,64.7,0.000267603
649,64.8,0.000434187
650,64.9,0.000319805
651,65.0,0.000470166
652,65.10000000000001,0.000354359
653,65.2,0.000414268
654,65.3,0.00030157
655,65.4,0.000229084
656,65.5,0.000465389
657,65.60000000000001,0.000625722
658,65.7,0.000209064
659,65.8,0.000440022
660,65.9,0.00053745
661,66.0,0.000557451
662,66.10000000000001,0.000245275
663,66.2,0.000214291
664,66.3,0.000407521
665,66.4,0.000258587
666,66.5,0.000301826
667,66.60000000000001,0.000205314
668,66.7,0.000198433
669,66.8,0.00071898
670,66.9,0.000314804
671,67.0,0.000256492
672,67.10000000000001,0.000268431
673,67.2,0.000564597
674,67.3,0.000324798
675,67.4,0.000281769
676,67.5,0.000609177
677,67.60000000000001,0.000526004
678,67.7,0.000669397
679,67.8,0.000558557
680,67.9,0.000184256
681,68.0,0.00058064
682,68.10000000000001,0.000199201
683,68.2,0.000232853
684,68.3,0.000433143
685,68.4,0.000134819
686,68.5,0.000508541
687,68.60000000000001,0.000402215
688,68.7,0.000249973
689,68.8,0.000210219
690,68.9,0.000148767
691,69.0,0.000537374
692,69.10000000000001,0.000185433
693,69.2,0.000387689
694,69.3,0.000250638
695,69.4,0.000246847
696,69.5,0.000312671
697,69.60000000000001,0.000468409
698,69.7,0.000198509
699,69.8,0.000651178
700,69.9,0.000404387
701,70.0,0.000166571
702,70.10000000000001,0.000262275
703,70.2,0.00016558
704,70.3,0.000494102
705,70.4,0.000432424
706,70.5,0.000243566
707,70.60000000000001,0.00060232
708,70.7,0.000264368
709,70.8,0.000277078
710,70.9,0.000149517
711,71.0,0.000224459
712,71.10000000000001,0.000399729
713,71.2,0.000596736
714,71.3,0.000204537
715,71.4,0.000228776
716,71.5,0.000292934
717,71.60000000000001,0.000616194
718,71.7,0.000289078
719,71.8,0.000357866
720,71.9,0.000227942
721,72.0,0.000184986
722,72.10000000000001,0.000152133
723,72.2,0.000435817
724,72.3,0.000514032
725,72.4,0.000437136
726,72.5,0.000237039
727,72.60000000000001,0.000391537
728,72.7,0.000122368
729,72.8,0.00056902
730,72.9,0.00034427
731,73.0,9.14305e-05
732,73.10000000000001,0.000287287
733,73.2,0.00035165
734,73.3,0.000410578
735,73.4,0.000195699
736,73.5,0.000426131
737,73.60000000000001,0.000192647
738,73.7,0.000297131
739,73.8,0.00017829
740,73.9,0.000237131
741,74.0,0.000265014
742,74.10000000000001,0.000309226
743,74.2,0.000239723
744,74.3,0.000520804
745,74.4,0.000299357
746,74.5,0.000351339
747,74.60000000000001,0.000260424
748,74.7,0.000303456
749,74.8,0.00021313
750,74.9,0.000442977
751,75.0,0.000206295
752,75.10000000000001,0.000288372
753,75.2,0.000229492
754,75.3,0.000107946
755,75.4,0.000330949
756,75.5,0.000228302
757,75.60000000000001,0.00024516
758,75.7,0.000206737
759,75.8,0.000489219
760,75.9,0.000380603
761,76.0,0.000242999
762,76.10000000000001,0.000194029
763,76.2,0.000289086
764,76.3,0.00029933
765,76.4,0.000137
766,76.5,0.000212411
767,76.60000000000001,0.000326387
768,76.7,0.000212672
769,76.80000000000001,0.000425524
770,76.9,0.000297774
771,77.0,0.000217534
772,77.10000000000001,0.000321822
773,77.2,0.000248681
774,77.30000000000001,0.000294346
775,77.4,0.000278378
776,77.5,0.000547765
777,77.60000000000001,0.000110799
778,77.7,0.000402929
779,77.80000000000001,0.000435122
780,77.9,0.000480601
781,78.0,0.000582733
782,78.10000000000001,8.38897e-05
783,78.2,0.000426276
784,78.30000000000001,0.00035477
785,78.4,0.00011701
786,78.5,0.000183504
787,78.60000000000001,0.000163661
788,78.7,0.000287162
789,78.80000000000001,0.000194454
790,78.9,0.00057114
791,79.0,0.000627044
792,79.10000000000001,0.000460977
793,79.2,0.000239053
794,79.30000000000001,0.000687635
795,79.4,0.00016943
796,79.5,0.000493819
797,79.60000000000001,0.000236188
798,79.7,0.000596409
799,79.80000000000001,0.000266033
800,79.9,0.000374147
801,80.0,0.000151389
802,80.10000000000001,0.000249512
803,80.2,0.000313393
804,80.30000000000001,0.000157679
805,80.4,0.000320707
806,80.5,0.0003052
807,80.60000000000001,0.000143655
808,80.7,0.000204218
809,80.80000000000001,0.000390324
810,80.9,0.000255835
811,81.0,0.000357768
812,81.10000000000001,0.000347175
813,81.2,0.00054979
814,81.30000000000001,0.000669035
815,81.4,0.000410374
816,81.5,0.000277681
817,81.60000000000001,0.000327807
818,81.7,0.000566627
819,81.80000000000001,0.000349448
820,81.9,0.000481185
821,82.0,0.000271982
822,82.10000000000001,0.000298186
823,82.2,0.000194664
824,82.30000000000001,0.000237546
825,82.4,0.00021624
826,82.5,0.000388367
827,82.60000000000001,0.000276898
828,82.7,0.000350701
829,82.80000000000001,0.000481029
830,82.9,0.000422899
831,83.0,0.000309948
832,83.10000000000001,0.000155422
833,83.2,0.000479424
834,83.30000000000001,0.000361363
835,83.4,0.000239633
836,83.5,0.000579986
837,83.60000000000001,0.000599963
838,83.7,0.00053723
839,83.80000000000001,0.00051289
840,83.9,0.000376739
841,84.0,0.000358106
842,84.10000000000001,0.000572667
843,84.2,0.00059501
844,84.30000000000001,0.000410971
845,84.4,0.000542339
846,84.5,0.000410867
847,84.60000000000001,0.000401792
848,84.7,0.0004152
849,84.80000000000001,0.000388844
850,84.9,0.000141071
851,85.0,0.000203545
852,85.10000000000001,0.000582845
853,85.2,0.000297384
854,85.30000000000001,0.000476835
855,85.4,0.000288813
856,85.5,0.000652197
857,85.60000000000001,0.000293901
858,85.7,0.000421548
859,85.80000000000001,0.000231011
860,85.9,0.000320394
861,86.0,0.000469858
862,86.10000000000001,0.000474369
863,86.2,0.000361412
864,86.30000000000001,0.000369888
865,86.4,0.000270884
866,86.5,0.000185308
867,86.60000000000001,0.000592452
868,86.7,0.000600701
869,86.80000000000001,0.000528383
870,86.9,0.000259026
871,87.0,0.000484757
872,87.10000000000001,0.000450198
873,87.2,0.000365688
874,87.30000000000001,0.000276062
875,87.4,0.000328035
876,87.5,0.00040252
877,87.60000000000001,0.000293027
878,87.7,0.00033351
879,87.80000000000001,0.000307225
880,87.9,0.00030211
881,88.0,0.000223437
882,88.10000000000001,0.000184825
883,88.2,0.000348718
884,88.30000000000001,0.000339381
885,88.4,0.000244495
886,88.5,0.000556634
887,88.60000000000001,0.000262852
888,88.7,0.000261572
889,88.80000000000001,0.000350519
890,88.9,0.000481501
891,89.0,0.000228716
892,89.10000000000001,0.000319685
893,89.2,0.000136899
894,89.30000000000001,0.000282864
895,89.4,0.000478051
896,89.5,0.000251586
897,89.60000000000001,0.000262604
898,89.7,0.000201877
899,89.80000000000001,0.000203553
900,89.9,0.000265556
901,90.0,0.000173379
902,90.10000000000001,0.000457698
903,90.2,0.000535568
904,90.30000000000001,0.000416558
905,90.4,0.00024332
906,90.5,0.000303963
907,90.60000000000001,0.0002369
908,90.7,0.000184842
909,90.80000000000001,0.00017427
910,90.9,0.000251971
911,91.0,0.000209225
912,91.10000000000001,0.000260522
913,91.2,0.000264588
914,91.30000000000001,0.000436834
915,91.4,0.000141164
916,91.5,0.000386261
917,91.60000000000001,0.000371345
918,91.7,0.000189126
919,91.80000000000001,0.000377333
920,91.9,0.00032612
921,92.0,0.000239483
922,92.10000000000001,0.000375226
923,92.2,0.000184915
924,92.30000000000001,0.000183514
925,92.4,0.000248114
